Artist,Number of Searches
Emmylou Harris,6910000
Sonny James,33000000
Crystal Gayle,12500000
Tom T. Hall,545000000
Mel Tillis,707000
Johnny Paycheck,5260000
John Conlee,888000
Vern Gosdin,732000
Glen Campbell,58300000
Conway Twitty,4090000
George Jones,594000000
Lynn Anderson,99100000
The Kendalls,878000
Tammy Wynette,5310000
Don Williams,1110000000
Johnny Rodriguez,61900000
Faron Young,1780000
Barbara Mandrell,1540000
Anne Murray,105000000
Gene Watson,64000000
Jerry Reed,53900000
Don Williams,1110000000
Marie Osmond,12600000
Conway Twitty,4090000
Mickey Gilley,868000
Dave and Sugar,83500000
Eddie Rabbitt,933000
Waylon Jennings,check
Loretta Lynn,18100000
Barbara Mandrell,1540000
David Allan Coe,7250000
Billy 'Crash' Craddock,185000
Willie Nelson,42700000
Conway Twitty,4090000
Bobby Bare,13900000
Dolly Parton,28100000
Emmylou Harris,6910000
Eddie Rabbitt,933000
Jerry Reed,53900000
Johnny Rodriguez,61900000
Bob Luman,441000
Waylon Jennings,8190000
Billy Swan,20800000
Moe Bandy,574000
Freddy Fender,2920000
Charlie Rich,131000000
Willie Nelson,42700000
Ronnie Milsap,1850000
Moe Bandy,574000
Marty Robbins,9040000
Johnny Cash,153000000
Mac Davis,109000000
Dottie West,8200000
Willie Nelson,42700000
The Oak Ridge Boys,21000000
Gary Stewart,75400000
Loretta Lynn,18100000
Johnny Cash,153000000
Eddie Rabbitt,933000
John Denver,346000000
Ronnie Milsap,1850000
Ray Stevens,82700000
Kenny Rogers,41500000
Billie Jo Spears,8740000
Tammy Wynette,5310000
"Hank Williams, Jr.", Jr.
Donna Fargo,10200000
Jean Shepard,20600000
Tom T. Hall,545000000
Johnny Paycheck,5260000
Roy Clark,85600000
Dolly Parton,28100000
George Jones,594000000
Tammy Wynette,5320000
Conway Twitty,4090000
Donna Fargo,10200000
Dottie West,8200000
The Oak Ridge Boys,23700000
Ronnie Milsap,1850000
Willie Nelson,42700000
Merle Haggard,7830000
Faron Young,1780000
Waylon Jennings,8190000
The Charlie Daniels Band,12800000
Ronnie Milsap,1850000
Merle Haggard,7830000
George Jones,594000000
Conway Twitty,4090000
Waylon Jennings,8190000
Tom T. Hall,676000000
Merle Haggard,7830000
Mickey Gilley,868000
Dolly Parton,28100000
Jeanne Pruett,440000
Johnny Rodriguez,61900000
Waylon Jennings,8190000
John Conlee,888000
Sammi Smith,9920000
Charley Pride,7080000
Shelly West,check
George Strait,34300000
Randy Travis,32600000
The Oak Ridge Boys,23700000
Exile,143000000
Alabama,411000000
T.G. Sheppard,1650000
The Forester Sisters,1470000
The Bellamy Brothers,8740000
Deborah Allen,60600000
The Oak Ridge Boys,23700000
Gene Watson,64000000
Michael Martin Murphey,870000
"Hank Williams, Jr.", Jr.
Clint Black,83300000
The Bellamy Brothers,9350000
Ronnie Milsap,1850000
Carol Hall,200000000
Sylvia,163000000
Eddy Raven,9830000
Merle Haggard,8180000
John Anderson,668000000
T.G. Sheppard,1650000
Dan Seals,24200000
Kenny Rogers,41500000
Earl Thomas Conley,5500000
The Forester Sisters,1470000
Ronnie Milsap,1850000
George Strait,34300000
Alabama,411000000
Emmylou Harris,6910000
Steve Earle,17500000
The Judds,853000
Rosanne Cash,3010000
Sawyer Brown,84700000
George Strait,34300000
George Jones,685000000
Earl Thomas Conley,5500000
Dwight Yoakam,3330000
Merle Haggard,7830000
Juice Newton,43600000
Ronnie Milsap,1850000
Gene Watson,64000000
George Jones,594000000
T.G. Sheppard,1650000
The Judds,853000
Merle Haggard,7830000
Ronnie McDowell,7910000
Rosanne Cash,3010000
Dolly Parton,28100000
Reba McEntire,16900000
Willie Nelson,42700000
Gary Morris,91400000
Exile,143000000
Randy Travis,32600000
Merle Haggard,7830000
Conway Twitty,4090000
Reba McEntire,check
Shenandoah,23500000
Janie Fricke,306000
Dolly Parton,28100000
Dwight Yoakam,3330000
Merle Haggard,7830000
George Strait,35800000
Vern Gosdin,732000
Dan Seals,24200000
George Jones,594000000
Reba McEntire,16900000
Willie Nelson,42700000
Keith Whitley,7670000
John Conlee,888000
T. Graham Brown,493000000
Don Williams,1110000000
Alabama,414000000
Ricky Skaggs,2080000
Terri Gibbs,4570000
Randy Travis,32600000
Dolly Parton,24400000
Juice Newton,43600000
Vern Gosdin,732000
Alabama,411000000
Waylon Jennings,8190000
Ronnie Milsap,1850000
Kathy Mattea,616000
K.T. Oslin,194000
Shenandoah,23500000
Exile,143000000
Alabama,411000000
Earl Thomas Conley,5500000
Ronnie Milsap,1850000
T.G. Sheppard,1650000
Dolly Parton,28100000
Don Williams,1110000000
George Jones,594000000
Sawyer Brown,74100000
David Frizzell,2430000
Ronnie Milsap,1850000
George Strait,34300000
Ricky Skaggs,2080000
Eddie Rabbitt,933000
David Lee Murphy,110000000
Brooks & Dunn,726000000
Tracy Byrd,8330000
Neal McCoy,9880000
John Anderson,668000000
George Strait,34300000
John Michael Montgomery,66300000
Clay Walker,79200000
Joe Diffie,628000
Tracy Lawrence,39400000
Kenny Chesney,12000000
Mindy McCready,682000
Chely Wright,566000
The Tractors,116000000
Toby Keith,24100000
Travis Tritt,4370000
Trisha Yearwood,3760000
Trace Adkins,6420000
Tracy Lawrence,39400000
Reba McEntire,15700000
Faith Hill,228000000
Mary Chapin Carpenter,3630000
Deana Carter,4110000
Trisha Yearwood,3760000
Clint Black,83300000
Confederate Railroad,7320000
George Strait,34300000
Shania Twain,21200000
Radney Foster,308000
Randy Travis,32600000
Doug Stone,46100000
Tim McGraw,27500000
Alan Jackson,208000000
Brooks & Dunn,837000000
Clay Walker,79200000
Billy Ray Cyrus,68300000
Toby Keith,24100000
Wynonna,9980000
Neal McCoy,9880000
Lonestar,48700000
Brooks & Dunn,829000000
Montgomery Gentry,8100000
Alan Jackson,208000000
Travis Tritt,4370000
Joe Diffie,512000
Mark Chesnutt,1120000
Aaron Tippin,507000
Brooks & Dunn,837000000
Alabama,411000000
Billy Dean,75600000
Randy Travis,32600000
Travis Tritt,4370000
Kenny Chesney,12000000
George Strait,34300000
Brooks & Dunn,837000000
Faith Hill,228000000
Dixie Chicks,7800000
Sammy Kershaw,2150000
Alan Jackson,208000000
Toby Keith,24100000
Trisha Yearwood,3760000
Collin Raye,2140000
Tracy Byrd,8330000
Mary Chapin Carpenter,3630000
Ricochet,13500000
Alan Jackson,208000000
Tim McGraw,27500000
Toby Keith,24100000
Shania Twain,21200000
Keith Whitley,7670000
Ty Herndon,1330000
Brooks & Dunn,837000000
Alan Jackson,205000000
John Michael Montgomery,66300000
Reba McEntire,16900000
Dixie Chicks,7800000
Hal Ketchum,712000
Toby Keith,24100000
David Lee Murphy,110000000
Alan Jackson,238000000
Mark Chesnutt,1310000
Vince Gill,23900000
Joe Diffie,628000
Jo Dee Messina,1340000
Martina McBride,7070000
Tim McGraw,27500000
Dixie Chicks,7800000
Tracy Byrd,8330000
Collin Raye,2090000
Joe Diffie,628000
Diamond Rio,95600000
Toby Keith,24100000
Tim McGraw,27500000
George Strait,34300000
Tanya Tucker,13300000
Travis Tritt,4370000
Collin Raye,2090000
Dwight Yoakam,3330000
Jo Dee Messina,1340000
Shania Twain,21200000
Louis The Child,656000000
Disclosure,439000000
R3HAB,7430000
ZHU,92800000
Ookay,1200000
BONNIE X CLYDE,13700000
Whethan,964000
Jauz,1530000
Illenium,4200000
Jai Wolf,11800000
Dillon Francis,23800000
RÜFÜS DU SOL,1060000
BONNIE X CLYDE,13700000
R3HAB,7430000
Jauz,1530000
obylx,16500
Sonny Side Up,28000000
San Holo,11800000
Mr. Popular,1590000000
RÜFÜS DU SOL,1020000
The Chainsmokers,32300000
Keys N Krates,925000
Conro,841000
Getter,81200000
Jeff Basta,8160000
R3HAB,7430000
San Holo,11800000
CRAY,26200000
Mija,20100000
Rhye,1630000
Dulce Huai,116000
CORSAK,1850000
phem,1070000
Said the Sky,2300000000
Flume,16800000
Amba Shepherd,752000
DOLF,4860000
Devault,2240000
DROELOE,532000
Clean Bandit,38900000
Sabrina Claudio vs.,18600000
Emilia Ali,30900000
The Him,3850000000
Raphaella,5190000
Alex Lustig,13300000
Louis The Child,656000000
The Glitch Mob,8130000
ODESZA,3480000
Flume,16800000
Elias,252000000
Post Malone,143000000
DJ Snake,127000000
Halsey,111000000
Ariana Grande,300000000
Billie Eilish,82600000
Dean Lewis,142000000
benny blanco,16800000
Alesso,8960000
Jonas Blue,293000000
Alessia Cara,20900000
Marshmello,70800000
Astrid S,110000000
Jack & Jack,2730000000
Tiësto,18300000
Shawn Mendes,107000000
Mumford & Sons,28600000
Lady Gaga,323000000
Quavo,18300000
Ariana Grande,300000000
Imagine Dragons,99800000
Drake,332000000
Zedd,20900000
Post Malone,143000000
Maroon 5,3080000000
Jonas Blue,293000000
Kanye West,153000000
Logic,650000000
Aminé,2710000
Alessia Cara,20900000
5 Seconds of Summer,232000000
CHVRCHES,14800000
Ariana Grande,300000000
Eminem,119000000
Major Lazer,41600000
Calum Scott,14400000
Zedd,20900000
Noah Kahan,984000
Calvin Harris,101000000
Lady Gaga,299000000
Julia Michaels,52700000
Lil Wayne,83100000
Logic,650000000
NF,468000000
Kygo,15700000
6ix9ine,21600000
Lele Pons,19700000
Juice WRLD,21300000
Billie Eilish,85200000
Loote,8240000
Eminem,119000000
LANY,38200000
NOTD,4710000
Shawn Mendes,107000000
Jess Kent,16500000
Logic,650000000
J Balvin,54200000
Los Angeles Azules,11900000
La Sonora Dinamita,4060000
Raymix,1310000
Aaron Y Su Grupo Ilusion,250000
Selena,236000000
Fito Olivares,547000
Becky G,112000000
Grupo Cañaveral De Humberto Pabón,181000
Sonora Tropicana,641000
Los Angeles Azules,11900000
Tropical Panamá,14600000
Becky G,112000000
Fito Olivares,547000
Grupo Kual?,400000
Los Angeles Azules,11900000
Rayito Colombiano,334000
Fito Olivares,547000
Los Angeles Azules,11900000
Los Plebeyos,931000
La Sonora Dinamita,3790000
Selena,236000000
La Sonora Dinamita,4060000
Sonora Tropicana,641000
Marco Antonio Solís,10900000
Fito Olivares,547000
Los Angeles Azules,14800000
Los Plebeyos,931000
La Sonora Dinamita,4060000
Los Warahuaco,62300
"Gladys ""La bomba tucumana""",148000
Afrosound,292000
Aniceto Molina,2370000
A.B. Quintanilla III Y Los Kumbia Kings,227000
Sonora Dinamica De Colombia,515000
Los Auténticos Decadentes,992000
Los Corraleros De Majagual,297000
La Sonora Dinamita,3270000
Caifanes,5860000
Los Bukis,1630000
Celso Piña y su Ronda Bogotá,167000
J Balvin,54200000
Daddy Yankee,64200000
Thalía,78000000
El Dusty,57600000
Ismael Serrano,8230000
El Hijo De La Cumbia,6340000
Bronco,179000000
Grupo Bryndis,847000
Rigo Tovar,1050000
Grupo Cañaveral De Humberto Pabón,181000
Grupo Sonador,141000
Laura Leon,90000000
Mi Sonora,139000000
Pepe Gomez Jr. y su Grupo Union 82,415000
Grupo Kual?,389000
La Tropa Vallenata,1550000
Celso Piña y su Ronda Bogotá,167000
Los Angeles De Charly,6910000
Alberto Pedraza,7250000
Los Telez,252000
Aaron Y Su Grupo Ilusion,250000
Chico Che,20900000
Grupo Sonador,141000
Cumbias Clasicas,779000
La Tropa Vallenata,1550000
Grupo Sonador,141000
Margarita la diosa de la cumbia,345000
Los Papis RA7,128000
Raymix,1310000
Daft Punk,32000000
Benny Benassi,5080000
Steve Angello,3180000
4 Strings,268000000
Joachim Garraud,651000
Eric Prydz,3270000
Bob Sinclar,4130000
Robert Miles,461000000
Edun,4650000
Kaskade,6200000
The Shapeshifters,2720000
Ferry Corsten,3500000
Guru Josh Project,8570000
Nadia Ali,59300000
Tiësto,18300000
ATB,73300000
deadmau5,9100000
Fedde Le Grand,3600000
Hardrive,2230000000
UNA,7460000000
Ferry Corsten,3500000
Mischa Daniels,13200000
Alex Gaudino,1630000
T2,439000000
Faithless,7530000
Леонид Руденко,3080000
Moby,53500000
Ferry Corsten,3500000
Paul Oakenfold,2750000
Axwell,5060000
Bendj Feat Sushy,22700
Chris Lake,342000000
Steve Forte Rio;Lindsey Ray,1250000
Sunfreakz,59500
Ercola,113000
Fragma,1320000
Flanders,42900000
The Cube Guys,53000000
Kaskade,6200000
Bellatrax Feat. Sophia May,13300
David Guetta,45900000
Eric Prydz,3270000
Ida Corr,2950000
Evermore Vs. Dirty South,1670000
David Guetta,45900000
Axwell,5060000
Nicola Fasano,3710000
Dave Armstrong,38300000
Robyn,98500000
Sylvia Tosun,254000
Blanco White,870000000
Phoebe Bridgers,1010000
Apparat,16200000
Adna,7270000
Tusks,71400000
Wickerbird,43800
London Grammar,109000000
CLOVES,81900000
Daughter,1860000000
Billie Marten,867000
Twin Caverns,1380000
SYML,1490000
RY X,246000000
Jill Andrews,21400000
Agnes Obel,1390000
Banks,5010000000
Broods,51200000
Ben Howard,195000000
Julien Baker,17100000
Dermot Kennedy,7160000
Tuvaband,29700
Puzzle Muteson,21000
The Deep Dark Woods,112000000
Hozier,23400000
Brooke Annibale,236000
Liz Longley,759000
Emily Jane White,126000000
Father John Misty,18300000
Rainbow Kitten Surprise,8210000
The National,6070000000
In The Valley Below,1270000000
London Grammar,109000000
Hannah Cameron,59300000
Fleurie,19200000
The Deep Dark Woods,112000000
CLOVES,81900000
The National,6070000000
Liza Anne,19900000
Lucy Dacus,761000
Ben Howard,195000000
Waxahatchee,448000
Laura Marling,2740000
El Perro Del Mar,67400000
TORRES,875000000
Marika Hackman,378000
Fear of Men,704000000
Gabrielle Shonk,76400
Sleep Thieves,19400000
David Keenan,23100000
William Crighton,345000
King Charles,903000000
Mt. Wolf,97100000
Agnes Obel,1390000
Ailbhe Reddy,29500
Lena Fayre,158000
Mammals,867000000
Joy Williams,200000000
Lucy Dacus,761000
alt-J,911000000
Laura Doggett,694000
Aoife O'Donovan,418000
Maddie Medley,977000
Ruelle,13500000
Jeff Buckley,22200000
Fink,57500000
Monica Heldal,108000
Odina,1620000
Lydia Luce,5360000
Tash Sultana,4550000
Henry Jamison,8420000
Zayde Wølf,142000
The Drifters,13000000
Maurice Williams & The Zodiacs,51800000
The Del-Vikings,48400000
The Clovers,7190000
Gene Chandler,18100000
Frankie Lymon & The Teenagers,407000
The Chords,132000000
The Flamingos,40000000
Dion & The Belmonts,118000000
The Monotones,1130000
The Drifters,13000000
The Miracles,112000000
Danny & The Juniors,489000000
The Penguins,119000000
The Five Satins,1900000
The Shirelles,853000
The Crests,13800000
The Fleetwoods,440000
The Rays,3090000000
The Chantels,check
The Cadillacs,6010000
The Marcels,1130000
The Jive Five,9700000
The Turbans,8300000
The Skyliners,1150000
The Duprees,291000
The Diamonds,check
The Tokens,398000000
The Regents,59200000
The Moonglows,387000
The Silhouettes,119000000
Little Anthony & The Imperials,634000000
The Spaniels,5570000
The Crows,66900000
The Dells,9210000
The Harptones,126000
The Genies,6420000
The Del-Vikings,48400000
Little Joe & The Thrillers,1280000000
The Platters,39600000
The Six Teens,449000000
The El Dorados,39600000
The Collegians,1620000
The Penguins,119000000
The Four Aces,34100000
The Hollywood Flames,25600000
The Dubs,16800000
Shep,13000000
The Cleftones,116000
Lord Huron,6620000
Billie Eilish,85200000
Khalid,130000000
Calum Scott,14400000
Blackbear,30400000
Kygo,15700000
Khalid,130000000
Billie Eilish,85200000
Lady Gaga,299000000
Calum Scott,14400000
X Ambassadors,42400000
Ed Sheeran,143000000
Post Malone,143000000
Billie Eilish,85200000
gnash,4200000
The 1975,968000000
Post Malone,143000000
Aquilo,50800000
Gavin James,92900000
Joji,9970000
Daniel Caesar,63900000
Jacob Banks,42900000
Bazzi,16000000
Lady Gaga,299000000
gnash,4200000
Camila Cabello,71100000
Lauv,7230000
Dan + Shay,30000000
Alec Benjamin,18600000
Camila Cabello,71100000
Dean Lewis,142000000
Sia,702000000
Lady Gaga,299000000
Dan + Shay,30000000
Harold Budd,4330000
Steve Gibbs,23400000
Justin Walter,54100000
Terekke,1410000
Idealism,49400000
4lienetic,36400
Joep Beving,822000
Martin Kohlstedt,269000
Alaskan Tapes,947000
Flug 8,56400000
Borealism,32400
Lucho Ripley,93400
Grøn,28800000
Halftribe,161000
Gossamer,13900000
Smoky,107000000
Borealism,32400
kwajbasket,18800
charlie dreaming,17100000
Lucho Ripley,93300
Poemme,102000
Christopher Willits,726000
Helios,128000000
Olivia Belli,5380000
Paddy Mulcahy,407000
Yamaneko,527000
Big Black Delta,241000000
Earthen Sea,6870000
Space Ghost,336000000
Dedekind Cut,211000
I Am Dive,251000000
Floor Overhead,260000000
Poemme,102000
Sonogram,6600000
Keith Kenniff,111000
Hilyard,682000
Golden Retriever,124000000
charlie dreaming,17100000
Ok2222,46200
36,17190000000
Chihei Hatakeyama,124000
Sea Oleena,62600
Uther Moads,4170
Alaskan Tapes,947000
Earthen Sea,7040000
Chihei Hatakeyama,124000
ghost and tape,68400000
36,16510000000
Laraaji,369000
Gregg Kowalsky,324000
Blood Orange,1330000000
Iris Temple,274000000
ASTN,2140000
Khalid,130000000
Geoffroy,13700000
Sevdaliza,2840000
Ok2222,52500
frumhere,21500
7AM,55500000
Diana Gordon,51800000
Baby Rose,2180000000
Hayleau,29800
Xavier Omär,152000
Khalid,130000000
Cuco,12100000
Ryan Egan,12700000
Lykke Li,8180000
Wet,1200000000
potsu,318000
Spencer.,402000000
Reva DeVito,110000
Ayelle,196000
NIKI,131000000
Sonder,52500000
Fallen Roses,34900000
Through & Through,8240000000
Many Faces,617000000
loftii,215000
Trodd,2230000
Sango,21000000
Dream Koala,17600000
Limbo,53000000
Billy Davis,118000000
FKJ,3590000
vbnd,2140000
Different Sleep,1230000000
Sabrina Claudio,18300000
6LACK,9040000
Fallen Roses,34900000
keshi,4260000
A D M B,375000
Nohidea,94600
Vague003,80800
Lolo Zouaï,417000
simon eng,75300000
Bonobo,67400000
Shrimpnose,14800
frumhere,21500
Xavier Omär,152000
[bsd.u],27000000
Talking Heads,244000000
New Order,8040000000
Pixies,182000000
Mazzy Star,3320000
Joy Division,80900000
The Stone Roses,159000000
Tom Tom Club,1430000000
Depeche Mode,35600000
Lou Reed,45200000
Echo & the Bunnymen,708000000
The Sundays,158000000
Patti Smith,55400000
Gang Of Four,403000000
Beat Happening,164000000
The Cure,463000000
David Bowie,144000000
Kraftwerk,19300000
Iggy Pop,46300000
James,3000000000
Joy Division,80900000
Violent Femmes,24200000
The Smiths,66800000
Le Tigre,151000000
Pulp,109000000
New Order,8040000000
The Smiths,66800000
Fugazi,2310000
The Breeders,check
Television,3050000000
Cocteau Twins,2670000
Sonic Youth,42800000
Primal Scream,8830000
Roxy Music,49000000
Pavement,169000000
The Doors,890000000
The Modern Lovers,317000000
The Raincoats,12000000
Dinosaur Jr.,37500000
The Velvet Underground,26900000
Liquid Liquid,1390000000
Orange Juice,579000000
The Velvet Underground,26900000
Morphine,21300000
The Human League,1480000000
The Lemonheads,1280000
Blondie,141000000
The Replacements,93400000
The Pastels,52800000
The Feelies,540000
The Vaselines,361000
Liz Phair,2440000
Pavement,168000000
T. Rex,441000000
The Field Mice,194000000
John Cale,24400000
PJ Harvey,29100000
Delta 5,704000000
The Sugarcubes,3290000
The Clash,279000000
The Jesus and Mary Chain,49600000
The Flaming Lips,16900000
Big Star,6010000000
David Bowie,141000000
Slowdive,5290000
Suicide,445000000
Public Image Ltd.,810000000
Built To Spill,45300000
Dinosaur Jr.,36700000
The Stooges,11300000
Blondie,149000000
Silver Apples,49900000
Jonathan Richman,4600000
Blur,279000000
Bauhaus,70700000
The Psychedelic Furs,2020000
Yo La Tengo,452000000
DEVO,98500000
Siouxsie and the Banshees,3660000
XTC,19400000
Beck,235000000
Radiohead,26000000
Faces,6430000000
The Pastels,61900000
Pixies,180000000
Talk Talk,2450000000
Minutemen,17000000
The Velvet Underground,30100000
The Brian Jonestown Massacre,1180000
Mission Of Burma,15200000
Türküm,3770000
W&W,17720000000
Aly & Fila,71500000
Lightsphere,569000
NYMZ,69500
Interactive Noise,185000000
Day Din & Klopfgeister,1180000000
Moontales,180000
Neelix,1220000
Phaxe,379000
Ben Buitendijk,222000
Liquid Soul,87600000
Rusko,50400000
Dropgun,1920000
Neelix,1180000
Symphonix,450000
Craig Connelly,9430000
DJ Rolando,7890000
Interactive Noise,185000000
Dave Clarke,77000000
Interactive Noise,185000000
Audiomatic,163000
Astrix,2280000
Klopfgeister,145000
Infected Mushroom,9540000
Scan 7,622000000
Day.Din & Dj Fabio,1270000000
Tiësto,24000000
Xilent,484000
Domino Brothers,24800000
Audiomatic,163000
Skrillex,21100000
Querox,177000
DROELOE,2340000
Interactive Noise,185000000
Verzache,390000
B12,146000000
Acid Pauli,3550000
Timmy Trumpet,4660000
Interactive Noise,185000000
Massappeals,441000
Benny Benassi,4370000
Luke Slater,15000000
NERVO,12400000
Aquanauts,368000
Neelix,1090000
Morgan Page,537000000
Attack Attack!,1120000000
Armin van Buuren,19500000
Rank 1,918000000
Dimitri Vegas & Like Mike,11100000
Martin Garrix,22100000
Tiësto,24700000
Wolfgang Gartner,2500000
Lucas & Steve,736000000
Vivid,221000000
R3HAB,6980000
Sick Individuals,202000000
Audien,7200000
Loud Luxury,108000000
Gian Varela,1820000
Spuds,16100000
Dimitri Vegas & Like Mike,12900000
Gorgon City,9000000
R3HAB,6980000
Lucas & Steve,736000000
Chocolate Puma,39900000
Dzeko,27700000
Maddix,1470000
Feenixpawl,563000
LOOPERS,61900000
Steve Angello,3410000
Dzeko,12600000
Deorro,3670000
Hardwell,12500000
Tim Mason,93700000
Magnificence,24300000
Tiësto,24700000
MORTEN,42200000
Lucas & Steve,781000000
Don Diablo,110000000
Steve Angello,3410000
Afrojack,10800000
Mike Williams,458000000
Gorgon City,9340000
Third Party,2390000000
Jay Hardway,5100000
Johann Stone,22900000
Breathe Carolina,20700000
Maddix,1470000
KSHMR,3550000
Reez,1030000
ARTY,44300000
Chocolate Puma,45500000
DJ Afrojack,7300000
Mord Fustang,218000
Oliver Heldens,4240000
Nicky Romero,15600000
Dimitri Vangelis & Wyman,803000
Julian Jordan,68100000
Fatum,4560000
Toby Green,115000000
Styline,1380000
Hardwell,12500000
SaberZ,237000
Hardwell,12300000
DubVision,718000
Brooks,693000000
Prince Paris,400000000
Lucas & Steve,781000000
Orjan Nilsen,830000
Tiësto,24700000
ARTY,44300000
Valentino Khan,14500000
VAGAN,2760000
Sick Individuals,202000000
Kura,61800000
TV Noise,471000000
Curbi,822000
WILL K,10040000000
Ghastly,11200000
Lil Baby,390000000
Anuel Aa,38500000
Flipp Dinero,876000
Anuel Aa,38500000
Anuel Aa,38500000
El Alfa,315000000
Ozuna,62800000
6ix9ine,20600000
Anuel Aa,38500000
El Alfa,301000000
Cardi B,211000000
BIA,152000000
Jon Z,259000000
Ozuna,67100000
Jhay Cortez,837000
Bad Bunny,195000000
C-Kan,1620000000
Miky Woodz,3810000
6ix9ine,21000000
Arcangel,30700000
Arcangel,30700000
6ix9ine,20600000
Jaden Smith,39500000
Bryant Myers,26600000
Belly,471000000
Arcangel,33000000
Fat Joe,207000000
Pacho El Antifeka,224000
Arcangel,30700000
Arcangel,30700000
6ix9ine,20600000
Almighty,70700000
Travis Scott,193000000
Nengo Flow,1260000
Cardi B,219000000
Jon Z,259000000
Dvice,945000
Lito Kirino,726000
Tyga,36800000
Drake,310000000
Lito Kirino,726000
Miky Woodz,3810000
Tempo,1680000000
Messiah,52200000
Miky Woodz,3810000
Flow Mafia,29700000
Fuego,249000000
Jay Pay$o,140000000
French Montana,179000000
Sheck Wes,3700000
JD McPherson,7290000
The Black Keys,1040000000
The Kooks,5740000
Yeah Yeah Yeahs,3330000
Kaleo,3650000
KONGOS,91700000
Barns Courtney,3190000
Black Rebel Motorcycle Club,18700000
Dorothy,235000000
The White Stripes,431000000
Dawes,14700000
X Ambassadors,60500000
The Black Keys,1040000000
Kaleo,3920000
The Fratellis,1030000
Bishop Briggs,13500000
Jonathan Tyler,70600000
The Lone Bellow,1030000
Royal Blood,416000000
Dorothy,233000000
Shovels & Rope,114000000
Tame Impala,16600000
The Dead Weather,896000000
Franz Ferdinand,36800000
The Black Keys,1040000000
The White Stripes,431000000
Band Of Skulls,22900000
Black Rebel Motorcycle Club,20100000
Lucy Dacus,720000
Half Moon Run,171000000
The Black Keys,1050000000
Royal Tusk,8420000
Welshly Arms,428000
Bishop Briggs,16100000
Razorlight,1330000
Barns Courtney,3190000
Band of Rascals,3830000
Jack White,2070000000
The White Stripes,403000000
Caught A Ghost,113000000
Goodbye June,138000000
The Raconteurs,2110000
Cage The Elephant,48300000
Deer Tick,14600000
Hanni El Khatib,271000
Scenic Route to Alaska,6120000
David Guetta,42200000
Martin Garrix,23000000
The Chainsmokers,28100000
Iggy Azalea,54000000
Far East Movement,331000000
Jack Ü,9870000
Galantis,4930000
3LAU,2640000
W&W,16950000000
Krewella,8220000
Jack Ü,9030000
The Chainsmokers,28100000
RL Grime,2780000
graves,762000000
Diplo,check
TNGHT,278000
Why Don't We,5030000000
DROELOE,522000
Digitalism,1040000
DJ Snake,113000000
MAX,5320000000
Sam F,1110000000
R3HAB,6980000
Disclosure,410000000
Katy Tiz,313000
Diplo,40800000
Yellow Claw,208000000
ODESZA,2900000
Calvin Harris,82700000
BLAEKER,32600
JOHN.k,3490000000
Cabu,2110000
Skrillex,22000000
Taska Black,24300000
Netsky,1730000
Willy Joy,19400000
Mesto,263000000
UZ,626000000
Yellow Claw,208000000
Kayzo,700000
PatrickReza,140000
FelMax,92500
DROELOE,522000
Contiez,252000
Bassnectar,2450000
Flosstradamus,1250000
Kiesza,2210000
John Dahlbäck,457000
Queen,2430000000
Survivor,316000000
Michael Jackson,851000000
Guns N' Roses,83300000
Journey,1330000000
Duran Duran,142000000
Bruce Springsteen,39500000
Heart,5170000000
Daryl Hall & John Oates,21900000
Billy Idol,35900000
ABBA,66700000
David Bowie,141000000
The Kinks,21400000
Prince,1380000000
Aerosmith,29400000
The Clash,315000000
Queen,2430000000
KISS,1890000000
Dexys Midnight Runners,540000
Foreigner,118000000
Journey,1330000000
Twisted Sister,69800000
The Go-Go's,6140000
Tom Petty and the Heartbreakers,5060000
Dead Or Alive,563000000
Stevie Wonder,74800000
Queen,2280000000
Village People,1510000000
Billy Idol,35900000
The Cars,11110000000
The Police,2400000000
Katrina & The Waves,195000000
Mötley Crüe,8320000
"Earth, Wind & Fire", Wind & Fire
Bruce Springsteen,39500000
Madness,230000000
Rick Astley,12200000
Kenny Loggins,5390000
Led Zeppelin,81200000
The Clash,269000000
The J. Geils Band,1360000
Phil Collins,106000000
a-ha,4820000000
Simple Minds,280000000
Sly & The Family Stone,87400000
Blondie,141000000
Wham!,19100000
Michael Jackson,876000000
St. Lucia,528000000
machineheart,275000
MishCatt,12500
Saint Motel,65600000
Gentlemen Hall,41700000
Dagny,6670000
Tigertown,571000
Great Good Fine Ok,1060000000
The 1975,917000000
Two Door Cinema Club,51700000
Urban Cone,73700000
MishCatt,12500
Matt and Kim,230000000
KOLAJ,9810000
The Strumbellas,705000
Phoenix,974000000
The Knocks,48200000
Vampire Weekend,72500000
BØRNS,3600000
Architecture In Helsinki,101000000
POWERS,7680000000
MGMT,53500000
Foster The People,422000000
Empire of the Sun,374000000
WALLA,39000000
Passion Pit,44600000
MisterWives,525000
CHVRCHES,14800000
Two Door Cinema Club,51700000
The Mowgli's,705000
Imagine Dragons,92100000
Bad Suns,29800000
Foals,42200000
Capital Cities,971000000
MGMT,53500000
New Politics,1220000000
Wild Cub,48100000
Youngblood Hawke,2820000
The Little Ones,1360000000
The 1975,917000000
Miike Snow,1460000
Phoenix,974000000
Vampire Weekend,72500000
Grouplove,2320000
The Griswolds,15200000
Big Data,6720000000
Crystal Fighters,22500000
Passion Pit,56400000
The Wombats,2860000
The Temper Trap,10700000
STRFKR,656000
Khalid,137000000
