Song,Release Year
Born To Be Wild - Single Version,1968
House Of The Rising Sun,1964
Louie Louie,1957
I Heard It Through The Grapevine - Single Version (Mono),1968
Crimson And Clover - Single Version,1968
Evil Ways,1969
Purple Haze,1967
California Dreamin' - Single Version,1965
Like a Rolling Stone,1965
Suite: Judy Blue Eyes - Remastered,
Turn! Turn! Turn! (To Everything There Is a Season),1965
I Saw Her Standing There - Remastered 2009,2009
Light My Fire,1967
Pinball Wizard,1969
The Sounds of Silence,1965
Green Onions,1962
Sweet Caroline - Single Version,1969
Good Lovin' - Single Version,1965
The Twist,1960
Sunshine Of Your Love,1967
Hit the Road Jack,1961
Proud Mary,1969
Dazed And Confused,1967
Summertime Blues,
I Want To Hold Your Hand - Remastered 2015,2015
Runaround Sue,1961
All Day and All of the Night - 2014 Remastered Version,2014
River Deep - Mountain High,1966
Summer in the City - Remastered,1966
Jumpin' Jack Flash - Mono / Remastered,1968
Foxey Lady,1967
Somebody to Love,1967
Time Has Come Today,1967
Heart Full of Soul,1965
Do You Believe in Magic?,1965
"Paint It, Black - Mono",1966
Good Vibrations - Remastered,1966
Psychotic Reaction,1966
Yesterday - Remastered 2009,2009
Nights In White Satin - Single Version / Mono Mix,1967
Space Oddity - 2015 Remastered Version,2015
Magic Carpet Ride,1968
Needles and Pins - Mono,
The Weight - Remastered,1968
Bring It On Home to Me,1962
Bad Moon Rising,1969
Crying,1961
Revolution - Remastered,1968
Shop Around,1960
I Fought The Law,1960
The Times They Are A-Changin',
Honky Tonk Women,1969
The End - Remastered,1967
She Loves You - Mono / Remastered,1963
Heartbreaker,1969
Brown Eyed Girl,1967
Gimme Shelter,1969
Touch Me,1968
Surf City - Remastered 1990 / Stereo Remix,1990
White Rabbit,1967
Green River,1969
I Get Around (Mono) - Mono,1964
Mr. Tambourine Man,1965
With A Little Help From My Friends - Remastered 2009,2009
Hush - 2014 Remastered Version,2014
For Your Love,1965
Street Fighting Man,1968
Blowin' In the Wind,1963
In My Room - Remastered,1963
I'm A Man,1967
Gloria - Stereo Version,1964
Itchycoo Park,1967
Wild Thing,1966
Care Of Cell 44,1967
See Emily Play - 2016 Remastered Version,2016
Alone Again Or - 2015 Remastered Version,2015
Psychotic Reaction - Rarities Version,
Slip Inside This House - Stereo LP Version,
I Had Too Much To Dream (Last Night),1966
96 Tears,1966
Have Love Will Travel,1959
Kick out the Jams,1969
I Hate You,
I Wanna Be Your Dog,1969
I'm Waiting For The Man - Album Version (Stereo),1967
Eight Miles High,1966
Wipe Out,1963
More Than Words,1991
Free Fallin',1989
Landslide,
Lean on Me,1972
Hotel California - Remastered,1976
Fast Car,1988
You're So Vain,1972
Dust in the Wind,1978
Ooh La La,1973
You've Got A Friend,1971
Redemption Song,1980
Crazy Love,1970
I'm on Fire,1985
Heart Of Gold,1972
Wildflowers - Remastered,1988
"Rocket Man (I Think It's Going To Be A Long, Long Time)",1972
In The Air Tonight - 2015 Remastered,2015
Wicked Game - Remastered,1990
Hallelujah,1984
My Sweet Lord,1970
A Horse with No Name,1971
Jolene,1973
Let It Be - Remastered 2009,2009
Maggie May,1971
Me and Julio Down by the Schoolyard,1972
Where You Lead,1971
Me and Bobby McGee,1969
If You Could Read My Mind,1970
Pink Moon,1972
Walkin' Back to Georgia,1972
Going To California,1971
"My My, Hey Hey (Out of the Blue)",1979
I Walk the Line,1956
Across The Universe - Remastered 2009,2009
Wild World,
California,1971
"Dreams (Sessions, Roughs & Outtakes) - 2004 Remastered Edition",2004
Tangled up in Blue,1975
Imagine - Remastered 2010,2010
Maybe I’m Amazed - Remastered 2011,2011
Tom's Diner,1987
Easy,1977
Up Where We Belong,1982
Life On Mars? - 2015 Remastered Version,2015
Personal Jesus - Acoustic Version,1989
Wuthering Heights,1978
Stuck In The Middle With You - Remastered,1973
Just The Two Of Us (feat. Bill Withers),1981
(You Make Me Feel Like) A Natural Woman,1967
Cecilia,1970
Our House,1970
And It Stoned Me,1970
Famous Blue Raincoat,1971
All Things Must Pass,1970
Stand By Me - Remastered,1975
"Baby, I Love Your Way",1975
Solsbury Hill,1977
Boulder To Birmingham - Remastered,
Something On Your Mind,1971
You're The Inspiration - 2006 Remastered Version,2006
Ripple,1970
You Are So Beautiful,1974
Blue Bayou,1963
Bohemian Rhapsody - Remastered 2011,2011
Stairway To Heaven,1971
Hotel California - Remastered,1976
London Calling - Remastered,1979
Riders On The Storm,1971
Rock And Roll All Nite,1975
Who Are You,1978
Changes - 2015 Remastered Version,2015
Who'll Stop The Rain,1970
Me and Bobby McGee,1969
Wild Horses,1971
Imagine - Remastered 2010,2010
Let It Be - Remastered 2009,2009
Dream On,1973
Roxanne - Remastered 2003,2003
Highway to Hell,1979
Bang a Gong (Get It On) - Remastered Version,1971
Smoke On the Water,1973
Black Magic Woman,1968
Message In A Bottle - Remastered 2003,2003
Free Bird,1973
Cocaine,1977
Lola - Coca Cola Version,1970
Black Dog,1971
Blitzkrieg Bop - 2016 Remastered Version,2016
I Want You to Want Me,1977
Black Diamond,1974
Blinded By The Light,1973
American Girl,1977
Brain Damage,
Comfortably Numb,1980
Born to Run,1975
Layla - 40th Anniversary Version / 2010 Remastered,2010
Just What I Needed,1978
Anarchy In The U.K.,1976
American Pie,1971
Aqualung,1971
Won't Get Fooled Again - Original Album Version,1971
Iron Man - Remastered Version,1971
The Boys Are Back in Town,1976
Walk This Way,1975
Maggie May - Remastered Version,1971
The Joker,1973
We Will Rock You - Remastered,1977
Walk On the Wild Side,1972
Brown Sugar,1971
American Woman - Remastered,1970
(Don't Fear) The Reaper,1976
Heart of Gold,1972
Running On Empty,1978
Sultans Of Swing,1978
"Rocket Man (I Think It's Going To Be A Long, Long Time)",1972
Dreams - 2004 Remastered Edition,2004
We Are The Champions - Remastered 2011,2011
You Ain't Seen Nothing Yet,1974
"Another Brick in the Wall, Pt. 1",1979
Roundabout - Remastered Version,1972
Ramblin' Man,1973
Fire And Rain,1970
My Sweet Lord,1970
Baba O'Riley,1971
Heart Of Glass - Special Mix,1979
My Sharona,1979
Bennie And The Jets - Remastered 2014,2014
Baby Hold On,1978
Tangled up in Blue,1975
Runnin' With The Devil - 2015 Remastered Version,2015
2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale - Medley,1976
All the Young Dudes,1972
All Right Now,1970
Backstreets,1975
Barracuda,1977
Ballroom Blitz,1973
Black Betty,
Beast Of Burden - Remastered,1978
Band On The Run - Remastered 2010,2010
Breakdown,1976
Carry on Wayward Son,1976
Cat Scratch Fever,1977
Bridge Over Troubled Water,1970
Caravan,1970
Can't Get Enough - Remastered Version,1974
Cheap Sunglasses,1979
China Grove,1973
Foreplay / Long Time,1976
Come Sail Away,1977
Give A Little Bit,1977
Doctor My Eyes,1972
Feel Like Makin' Love - 2015 Remastered Version,2015
Do You Feel Like We Do,1973
L.A. Woman,1971
The Lamb Lies Down On Broadway (Platinum Collection Version),1974
Knockin' On Heaven's Door - Remastered,1973
Deacon Blues,1978
Life In The Fast Lane - Remastered,1977
Life's Been Good,1978
Locomotive Breath,1971
Like A Hurricane,1977
Livin' Thing,1976
Paradise By the Dashboard Light,1978
Paradise City,1989
Panama - 2015 Remastered Version,2015
Rock You Like A Hurricane,1984
Dr. Feelgood,1989
Pour Some Sugar On Me - Remastered 2017,2017
Still of the Night - 2017 Remastered Version,2017
Crazy Train - Remastered,1980
You Give Love A Bad Name,1986
Seventeen,1988
Nobody's Fool,1986
Rainbow in the Dark,1983
Lay It Down,1985
Bad Medicine,1988
Metal Health (Bang Your Head),1983
The Final Countdown,1986
Home Sweet Home,1985
No One Like You,1982
Close My Eyes Forever,1989
Welcome To The Jungle,1987
Every Rose Has Its Thorn - Remastered 2003,2003
Is This Love - 2017 Remastered Version,2017
Lick It Up,1983
Once Bitten Twice Shy,1975
Wanted Dead Or Alive,1987
Don't Know What You Got (Till It's Gone),1988
You're In Love,1985
"Girls, Girls, Girls",1987
Here I Go Again 87 - 2007 Remastered Version,2007
Livin' On A Prayer,1986
Sweet Child O' Mine,1988
Cum on Feel the Noize,1973
Jump,1983
Rock the Night,1985
Talk Dirty To Me - 2006 - Remaster,2006
Working for the Weekend,1981
Holy Diver,1983
Kickstart My Heart,1989
Round and Round,1984
We're Not Gonna Take It,1984
Cherry Pie,1990
Summertime Girls - Studio Version,
18 And Life,1989
Heaven's On Fire,1984
Dude (Looks Like A Lady),1987
Gypsy Road,1988
Alone Again,1985
Poison,1989
Addicted To That Rush,1989
Inside Out,1989
I Wanna Be Somebody,1984
Wait,1987
Over The Mountain,1982
Wild Frontier - Remastered 2002,2002
Armed And Ready - 2008 Remastered Version,2008
I Surrender,
Edge Of A Broken Heart,1988
I Don't Believe In Love - Remastered 2003,2003
I Hate Myself for Loving You,1988
Eye of the Tiger,1982
Kiss Me Deadly,1988
I Remember You,1989
Wild Side,1987
Heaven,1989
Fallen Angel - Remastered,1988
Shout At The Devil,1983
Runaway,1983
Shake Me,
Modern Day Cowboy,1987
Why Can't This Be Love,1986
Up All Night,1990
High Enough,1990
Rock And Roll All Nite,1975
Living After Midnight,1980
Wild Child,1985
Unskinny Bop - 2006 - Remaster,2006
Bark at the Moon,1983
In My Dreams (Re-Recorded / Remastered),1986
Sister Christian,1984
Love Song,1989
Ain't Talkin' 'Bout Love - 2015 Remastered Version,2015
Ace of Spades,1980
Don't Close Your Eyes,1989
Detroit Rock City,1976
Hot For Teacher - 2015 Remastered Version,2015
Don't Treat Me Bad,1991
Don't Stop Believin',1981
House Of Pain,1989
Sharp Dressed Man - 2008 Remastered Version,2008
Paranoid - Remastered Version,1970
You Shook Me All Night Long,1980
I Was Made For Lovin' You,1979
Breaking The Chains,1981
Uncle Tom's Cabin,1991
"Mama, I'm Coming Home",1992
Runnin' With The Devil - 2015 Remastered Version,2015
Just Like Paradise,1987
Since You Been Gone,1979
Cryin',1988
Barracuda,1977
Wind Of Change,1991
Every Breath You Take,1983
All Out of Love,1980
Hard To Say I'm Sorry - 2007 Remastered Version,2007
Woman - 2010 - Remaster,2010
Foolish Beat,1988
Have I Told You Lately,1989
Can't Fight This Feeling,1984
Every Woman In The World - Digitally Remastered 1999,1999
Tonight I Celebrate My Love,1983
Endless Love - Endless Love/Soundtrack Version,1981
When I See You Smile,1989
Drive - Remastered,1984
We've Got Tonight,1978
Lover's Moon,
I'll Be Loving You (Forever),1989
Arthur's Theme (Best That You Can Do) - Remastered Version,1981
Nothing's Gonna Change My Love For You,1985
Open Arms,1982
The One That You Love,1981
TRUE,1983
The Flame,1988
Nothing's Gonna Stop Us Now,1987
"Say You, Say Me",1985
Straight From The Heart,1983
Take On Me,1984
Waiting For A Girl Like You,1981
Careless Whisper,1984
Woman in Love,1980
Do You Remember? - 2016 Remastered,2016
Listen To Your Heart,1988
Heaven,1985
Glory Of Love,1986
"Take My Breath Away - Love Theme from ""Top Gun""",1986
It Might Be You (Theme From Tootsie),1983
The Lady In Red,1986
Time After Time,1984
Against All Odds (Take A Look At Me Now) - 2016 Remastered,2016
Every Time You Go Away,1985
I Want To Know What Love Is - Remastered,1984
Faithfully,1983
Total Eclipse of the Heart,1983
With Or Without You - Remastered,1987
Alone,1987
You're The Inspiration - 2006 Remastered Version,2006
Right Here Waiting,1989
If You Don't Know Me By Now - 2008 Remastered Version,2008
Baby Can I Hold You,1988
Eternal Flame,1989
(I Just) Died In Your Arms,1986
How Am I Supposed to Live Without You,1983
Welcome To The Jungle,1987
You Shook Me All Night Long,1980
Pour Some Sugar On Me - Remastered 2017,2017
Jump - 2015 Remastered Version,2015
Another One Bites The Dust - Remastered 2011,2011
Livin' On A Prayer,1986
Should I Stay or Should I Go - Remastered,1982
Dancing With Myself,1980
Every Breath You Take - Remastered 2003,2003
Let's Dance - 1999 Remastered Version,1999
Free Fallin',1989
With Or Without You - Remastered,1987
Need You Tonight,1987
Any Way You Want It,1980
I Was Made For Lovin' You,1979
Dude (Looks Like A Lady),1987
When Doves Cry,1984
Born in the U.S.A.,1984
Rock You Like A Hurricane,1984
Every Rose Has Its Thorn - Remastered 2003,2003
"Girls, Girls, Girls",1987
Here I Go Again 87 - 2007 Remastered Version,2007
Walk This Way,1975
Sweet Child O' Mine,1988
We're Not Gonna Take It,1984
Poison,1989
I Hate Myself for Loving You,1988
Unskinny Bop - 2006 - Remaster,2006
Barracuda,1977
I Ran,
Once In A Lifetime - 2005 Remastered Version,2005
Personal Jesus - Original Seven Inch Version,1989
Desire,1988
How Soon Is Now? - 2011 Remastered Version,2011
Just Like Heaven - 2006 Remastered Version,2006
Billie Jean,1983
Bad Medicine,1988
Where The Streets Have No Name - Remastered,1987
Panama - 2015 Remastered Version,2015
Stand - Remastered,1989
Jane Says,1988
Hungry Like The Wolf - 2009 Remastered Version,2009
18 And Life,1989
The Safety Dance,1982
West End Girls - 2001 Remastered Version,2001
Eye of the Tiger,1982
You Spin Me Round (Like a Record),1984
Shout,
Tainted Love,1965
Dr Feelgood,1989
Summer Of '69,1985
One,1989
Money For Nothing,1985
Jessie's Girl,1981
Come On Eileen,1982
Fight For Your Right,1986
Love Will Tear Us Apart - 2010 Remastered Version,2010
Runaway,1983
Faith - Remastered,1987
Working for the Weekend,1981
Everybody Wants To Rule The World,1985
Take On Me,1984
Relax,1983
Blue Monday - 2016 Remastered Version,2016
Don't You (Forget About Me),1985
Don't Stop Believin',1981
The Boys Of Summer,1984
Addicted To Love,1986
I Still Haven't Found What I'm Looking For - Remastered 2007,2007
Mountain Song,1988
Cum on Feel the Noize,1973
Call Me,1980
Cherry Pie,1990
Walk This Way,1975
Crazy Train - Remastered,1980
Ace of Spades,1980
Run to the Hills - 1998 Remastered Version,1998
Real Wild Child (Wild One),1958
Rebel Yell,1983
Pride (In The Name Of Love),1984
She Sells Sanctuary,1985
The Final Countdown,1986
Personal Jesus - Single Version,1989
The Killing Moon,1984
Don't Change,1982
Boys Don't Cry,1979
Rock the Casbah - Remastered,1982
Debaser,1997
Whip It,1980
Love Buzz,1969
It's The End Of The World As We Know It (And I Feel Fine),1987
Teen Age Riot (Album Version),1988
Sunday Bloody Sunday - Remastered 2008,2008
Video Killed The Radio Star,1979
Waiting Room,1988
Don't Want To Know If You Are Lonely,2011
Epic,1990
New Sensation,1988
Brass In Pocket - 2006 Remastered Version,2006
Pictures Of You - Remastered,1990
Africa,1982
Should I Stay or Should I Go - Remastered,1982
Billie Jean,1983
Sweet Dreams (Are Made of This) - Remastered,1983
Don't Stop Believin',1981
Time After Time,1984
Every Breath You Take,1983
You Make My Dreams,1980
I Wanna Dance with Somebody (Who Loves Me),1987
"80s Baby - feat. Salt-N-Pepa, Naughty By Nature, Tiffany, Debbie Gibson",
Michael Jackson x Mark Ronson: Diamonds are Invincible,2018
Careless Whisper,1984
I Love Rock 'N Roll,1975
Whip It,1980
Beat It - Single Version,1983
Uptown Girl,1983
Footloose,1984
I'm So Excited,1982
Freeway of Love - Single Mix,1985
You Got It (The Right Stuff),1988
Hungry Heart,1980
Down Under,1981
9 to 5,1980
Rosanna,1982
Wake Me Up Before You Go-Go - Remastered,1984
Maneater,1982
Take On Me,1984
In Your Eyes,1986
Never Gonna Give You Up,1987
Your Love,1986
Dancing In the Dark,1984
99 Luftballons,1983
Girls Just Want to Have Fun,1983
Thunderstruck,1990
Rock You Like a Hurricane,1984
Danger Zone,1986
Faith - Remastered,1987
I Ran,
You Can Call Me Al,1986
We Built This City,1985
What I Like About You,1980
Somebody's Watching Me - Single Version,1984
Nothing's Gonna Stop Us Now,1987
How Will I Know,1985
Caribbean Queen (No More Love On the Run),1984
(I've Had) The Time of My Life,1987
You're The Inspiration - 2006 Remastered Version,2006
Walk This Way (feat. Aerosmith),1975
The Final Countdown,1986
Break My Stride,1983
Who Can It Be Now?,1981
Kiss,1986
Beds Are Burning - Remastered,1987
Jessie's Girl,1981
We Belong - Single Version,1984
You Shook Me All Night Long,1980
Let's Hear It for the Boy,1984
Keep on Loving You - Remastered,1980
"Take My Breath Away - Love Theme from ""Top Gun""",1986
It's Still Rock and Roll to Me,1980
Hold Me Now,1983
Everyday People,1968
Cum on Feel the Noize,1973
Talking In Your Sleep,1983
Jump (For My Love),1984
Working for the Weekend,1981
Faithfully,1983
Rock the Casbah - Remastered,1982
Can't Fight This Feeling,1984
Oh Sherrie,1984
I'm on Fire,1985
I Want Candy,1965
"Ghostbusters - From ""Ghostbusters""",1984
Take Me Home Tonight,1986
You Got It,1989
"I'm Alright (Theme from ""Caddyshack"")",1980
Shake Your Body (Down to the Ground) - Single Edit,1979
Walk Like an Egyptian,1986
Total Eclipse of the Heart,1983
You Spin Me Round (Like a Record),1984
Hypnotize (feat. Pam Long) - 2016 Remastered,2016
California Love - Original Version,1995
Don't Believe The Hype,1988
"Flava In Ya Ear (feat. The Notorious B.I.G., LL Cool J, Busta Rhymes & Rampage) - 2016 Remastered",2016
The Rain (Supa Dupa Fly),1997
The World Is Yours,1994
Hip Hop Hooray,1992
Keep Their Heads Ringin',1995
Juicy - 2016 Remastered,2016
Gangsta's Paradise,1995
Gin And Juice (feat. Dat Nigga Daz),1994
Crush On You,1997
The Humpty Dance,1989
Cause I Can Do It Right,
Jump Around,1992
Put Your Hands Where My Eyes Could See,1997
"It's All About The Benjamins (feat. The Notorious B.I.G., Lil' Kim & The Lox) - Remix",1997
Sexy M.F.,1992
Rump Shaker,1992
Hail Mary,1997
I Got 5 On It,1995
Who Am I (What's My Name)?,1993
U.N.I.T.Y.,1993
Mama Said Knock You Out,1990
Mind Playing Tricks on Me,1991
I Get Around,1993
Big Poppa,1994
"Shook Ones, Pt. II",1995
Runnin',1995
N.Y. State of Mind,1994
Bring Da Ruckus,1993
Oh My God,1994
Informer,1992
Killing Me Softly With His Song,1973
Love Like This - 2016 Remaster,2016
Feel So Good - 2016 Remastered,2016
Insane in the Brain,1993
Baby Got Back,1992
Sabotage,1994
O.P.P,1991
Fight The Power,1989
Poison,1990
U Can't Touch This,1990
Tennessee - Remastered,1992
Around The Way Girl,1990
Can't You See (feat. The Notorious B.I.G.) - 2016 Remastered,2016
Get Ur Freak On,2001
Can I Kick It?,1990
Anywhere - 2016 Remastered,2016
"Very Special - feat. Spinderella, Laree Williams And Karen Anderson",1981
Woo Hah!! Got You All In Check,1996
Return Of The Mack,1996
Just A Friend,1989
Shimmy Shimmy Ya,1995
Money Ain't a Thang,1998
Got Your Money (feat. Kelis),1999
Knockin' Boots,1990
Gettin' Jiggy Wit It,1998
Gone Till November,1998
Rebirth Of Slick (Cool Like Dat),1992
No Scrubs,1999
Doo Wop (That Thing),1998
Summertime - Single Edit,1991
Ghetto Supastar (That is What You Are),1998
Jump,1992
No Diggity,1996
Still Not a Player (feat. Joe),1998
I Wish - Radio Edit,1995
Regulate,1994
Now That We Found Love,1978
I'll Be There For You/You're All I Need To Get By,1995
It Was A Good Day,1993
Funkdafied,
On & On,
Murder Was The Case (Death After Visualizing Eternity) (feat. Dat Nigga Daz),1994
Under The Bridge,1992
Drive,2000
Torn - Acoustic MTV Unplugged,
Wonderwall,1995
Give Me One Reason,1995
High And Dry,1995
Sunny Came Home,1997
Fade Into You,1994
Hallelujah,1984
Bitter Sweet Symphony,1997
Meet Virginia,1999
How's It Going To Be,1997
Iris,1998
Mr. Jones,1993
Good Riddance (Time of Your Life),1997
You Were Meant For Me,1996
Fake Plastic Trees,1995
Zombie - Acoustic Version,1994
Don't Speak,1996
Save Tonight,1997
Glycerine - Acoustic,1995
The Freshmen,1997
Loser,1993
1979,1979
Losing My Religion,1991
Push,1997
When I Come Around,1995
What It's Like,1998
Plush - Acoustic,1993
Everlong - Acoustic Version,1997
Name,
A Long December,1996
Kiss From A Rose - Acoustic Version,1994
More Than Words,1991
Head Over Feet - Live/Unplugged Version,1996
All The Small Things,2000
Black Hole Sun,1994
Slide,1998
Crash into Me,1996
Santeria,1997
Waterfalls,1995
No Diggity,1996
I Don't Want to Miss a Thing,1998
She's so High,1999
When You Say Nothing At All,1988
I Don't Want to Wait - Remastered Version,1997
Sex & Candy,
Where Is My Mind?,1988
Lovefool - Radio Edit,1996
Kind & Generous,
Karma Police,1997
Alive,1991
Stellar - acoustic,2000
Kryptonite,2000
All For You,1997
Motorcycle Drive By,1997
All Apologies,1993
Foolish Games,1997
Where Have All the Cowboys Gone ? - Remastered Version,1997
Because The Night [MTV Unplugged Version],1993
Both Hands,1990
Save Me,1999
You Learn - Live/Unplugged Version,1996
Three Marlenas,1997
"The Times They Are A-Changin' - Live at Sony Music Studios, New York, NY - November 1994",1994
Sweet Child O' Mine,1988
Breathe - Remastered Version,1999
She Talks To Angels - Acoustic Bonus Version,1990
Cowboy Take Me Away,1999
California Stars,1998
Annabelle,
In the Aeroplane Over the Sea,1998
Semi-Charmed Life,1997
Mr. Jones,1993
Two Princes,1993
Closing Time,1998
Save Tonight,1997
Push,1997
One Headlight,1996
Hey Jealousy,1989
I'm Gonna Be (500 Miles),1988
Good,
If You Could Only See,1997
You Get What You Give,
Lump,1995
Someday - Remastered,1999
All I Want,1992
Flagpole Sitta,1997
Laid,1993
Selling The Drama,1994
My Own Worst Enemy,1999
In The Meantime,1996
Barely Breathing,1996
The Way,1998
Everything You Want,2000
Dyslexic Heart,
What's My Age Again?,1999
No Rain,1993
Virtual Insanity - Remastered,1996
Got You (Where I Want You),1998
High,1997
Who's Gonna Ride Your Wild Horses,1992
What's Up?,
Shimmer - Single Version,1998
How Bizarre,1995
She's so High,1999
